y_positions,T_true,T_pinn,T_analytical
0.21105527638190955,350.0105527638191,350.54989318053475,350.01096077705756
0.21608040201005024,350.0108040201005,349.9915497853502,350.0112217479399
0.22110552763819097,350.0110552763819,349.9247416264115,350.0114827188222
0.22613065326633167,350.0113065326633,350.4531365014066,350.01174368970453
0.23115577889447236,350.01155778894474,350.33771922815146,350.01200466058685
0.23618090452261306,350.01180904522613,349.223612966734,350.0122656314692
0.2412060301507538,350.0120603015075,350.7503304763705,350.0125266023515
0.24623115577889448,350.01231155778896,350.7023572348627,350.0127875732338
0.2512562814070352,350.01256281407035,349.69978146331556,350.01304854411615
0.2562814070351759,350.01281407035174,350.21071583707044,350.01330951499847
0.2613065326633166,350.0130653266332,350.26008041977457,350.0135704858808
0.2663316582914573,350.01331658291457,350.1436534658265,350.0138314567631
0.271356783919598,350.01356783919596,349.73841526227324,350.01409242764544
0.27638190954773867,350.0138190954774,349.67800741150836,350.01435339852776
0.2814070351758794,350.0140703517588,350.00129331626306,350.0146143694101
0.2864321608040201,350.0143216080402,350.60068611766985,350.0148753402924
0.29145728643216084,350.0145728643216,350.2863729416188,350.01513631117473
0.2964824120603015,350.014824120603,349.82951695455995,350.01539728205705
0.30150753768844224,350.0150753768844,350.4009247322086,350.0156582529394
0.3065326633165829,350.01532663316584,348.5910553228508,350.0159192238217
0.31155778894472363,350.01557788944723,350.5899607396333,350.016180194704
0.3165829145728643,350.0158291457286,349.1459722563396,350.01644116558634
0.32160804020100503,350.01608040201006,349.8348599313085,350.01670213646867
0.32663316582914576,350.01633165829145,349.4564967109784,350.016963107351
0.3316582914572864,350.01658291457284,349.36924217671236,350.0172240782333
0.3366834170854272,350.0168341708543,350.5972475645435,350.01748504911563
0.3417085427135679,350.01708542713567,349.7832348264797,350.01774601999796
0.3467336683417086,350.0173366834171,350.1905886242825,350.0180069908803
0.35175879396984927,350.0175879396985,349.9941276502589,350.0182679617626
0.35678391959799,350.0178391959799,350.25635960959147,350.0185289326449
0.36180904522613067,350.01809045226133,350.05650139779146,350.01878990352725
0.3668341708542714,350.0183417085427,349.37684559644845,350.0190508744096
0.37185929648241206,350.0185929648241,350.51672637454766,350.0193118452919
0.3768844221105528,350.01884422110555,349.7719659295249,350.0195728161742
0.38190954773869346,350.01909547738694,349.2408045280571,350.01983378705654
0.3869346733668342,350.0193467336683,349.80528915318536,350.02009475793886
0.3919597989949749,350.0195979899498,350.76997788526694,350.0203557288212
0.39698492462311563,350.01984924623116,350.4449601172879,350.0206166997035
0.4020100502512563,350.02010050251255,349.8457744353086,350.02087767058583
0.407035175879397,350.020351758794,349.84572290663476,350.02113864146816
0.4120603015075377,350.0206030150754,349.8597854894667,350.0213996123505
0.4170854271356784,350.02085427135677,351.0592282631372,350.0216605832328
0.4221105527638191,350.0211055276382,350.212073253754,350.0219215541151
0.4271356783919598,350.0213567839196,350.2363776075151,350.02218252499745
0.4321608040201005,350.021608040201,350.5367497672169,350.02244349587977
0.4371859296482412,350.02185929648243,350.1412538759957,350.0227044667621
0.44221105527638194,350.0221105527638,349.8925894798535,350.0229654376444
0.44723618090452266,350.0223618090452,349.9241868845027,350.02322640852674
0.45226130653266333,350.02261306532665,349.98681243561964,350.02348737940906
0.45728643216080406,350.02286432160804,350.00425320335313,350.0237483502914
0.4623115577889447,350.0231155778894,350.38693034970794,350.0240093211737
0.46733668341708545,350.0233668341709,350.0493397770745,350.02427029205603
0.4723618090452261,350.02361809045226,350.38993812906006,350.02453126293835
0.47738693467336685,350.02386934673365,349.98351105667933,350.0247922338207
0.4824120603015076,350.0241206030151,350.0634381981731,350.025053204703
